complex_id,address,is_open,park_name
163,200 Isabel St,TRUE,Central C.C / Freighthouse Spray Pad
83,475 Anderson Ave,TRUE,Machray Park Spray Pad
49,821 Preston Ave,TRUE,Vimy Ridge Memorial Park Spray Pad
102,1400 Rothesay St,TRUE,Jill Officer Park Spray Pad
98,218 Antrim Rd,TRUE,Valley Gardens CC Spray Pad
27,400 Cumberland Ave,TRUE,Central Park Spray Pad
190,414 Lindenwood Dr W,TRUE,Lindenwoods Spray Pad
148,550 Dale Blvd,TRUE,Westdale Spray Pad
31,1370 Grosvenor Ave,TRUE,River Heights Spray Pad
104,1717 Gateway Rd,TRUE,Gateway Spray Pad
158,346 Perth Ave,TRUE,West Kildonan Spray Pad
155,3450 Pembina Hwy,TRUE,St. Norbert Community Centre Spray Pad
36,620 Langevin St,TRUE,Provencher Park Spray Pad
48,295 River Ave,TRUE,Fort Rouge Spray Pad
54,210 Rita St,TRUE,Sturgeon Heights Spray Pad
169,644 Parkdale St,TRUE,St. James Assiniboia Centennial Pool Spray Pad
114,115 Sanford Fleming Rd,TRUE,Park City West Spray Pad
192,379 Island Shore Blvd,TRUE,Lindsey Wilson Park Spray Pad
158,1885 Chancellor Dr,TRUE,Waverley Heights Spray Pad
107,74 Tyndall Ave,TRUE,Shaughnessy Spray Pad
72,96 Sinclair St,TRUE,Old Exhibition Athletic Grounds Spray Pad
